record_id,doi,url,title,publication_date,version,creators,files,file_count,access,updated,conceptrecid,disposition,flags,alias,notes
20552171,10.5281/zenodo.20552171,https://zenodo.org/records/20552171,"A Quantum Field Theory on the Prime Manifold: Navier–Stokes, Riemann, and Goldbach Under a Single Hamiltonian",2026-06-05,,"Simons, Jonathan Robert",QUANTUM_MILLENNIUM_NEW.tex | THREE_IN_ONE_QUANTUM_MILLENNIUM.pdf,2,open,2026-08-26T23:43:46.549429+00:00,20552170,PARK/ARCHIVE,,Three-in-one / Prime Manifold Hamiltonian,URGENT title fix. Settled pack expected title banner; live title may already be cleaned.
20552080,10.5281/zenodo.20552080,https://zenodo.org/records/20552080,Explicit Decay Rate and Quantitative Threshold for the SND Gronwall Inequality: T2 Conditional Closure and GNC–Goldbach Bridge,2026-06-05,,"Simons, Jonathan Robert",T2_CONDITIONAL_CLOSURE.pdf | T2_CONDITIONAL_CLOSURE.tex,2,open,2026-06-05T06:08:19.309616+00:00,20552079,PARK/ARCHIVE,,,Superseded concept version from settled inventory. See KEEP 10.5281/zenodo.22050965.
20518388,10.5281/zenodo.20518388,https://zenodo.org/records/20518388,"Route C: Spectral Closure of the Zero-Density Law — Conditional on Two Analytic Gaps""",2026-06-03,,"Simons, Jonathan",d8fcfda3f_RouteC_fresh.tex,1,open,2026-06-03T00:39:49.887439+00:00,20518249,PARK/ARCHIVE,,,Superseded concept version from settled inventory. See KEEP 10.5281/zenodo.22050963.
20518057,10.5281/zenodo.20518057,https://zenodo.org/records/20518057,"Spectral Non-Dispersal, the Ring Lemma, and a Conditional Regularity Framework for the Navier–Stokes Equations on T³",2026-06-03,v1,"simons, jonathan",98d1b1cc9_NS_UPLOAD_ZENODO.tex,1,open,2026-06-02T23:29:18.277449+00:00,20518056,PARK/ARCHIVE,,Older SND conditional framework (pre-Ring+SND merge),Superseded by corrected Ring+SND note. Soft description pointer only.
20405599,10.5281/zenodo.20405599,https://zenodo.org/records/20405599,"The GCD Spectral Attractor: A Unified Structural Framework for Navier-Stokes, the Riemann Hypothesis, and the Simons Field Equation",2026-05-27,,"Simons, Jonathan R.",Simons_GCD_Spectral_Attractor_Unified.tex,1,open,2026-08-26T23:44:05.572464+00:00,20405598,PARK/ARCHIVE,,,Not in settled Aug-2026 KEEP set. Categorical PARK (unconditional/Millennium/RH/SFE/banner packaging).
20405597,10.5281/zenodo.20405597,https://zenodo.org/records/20405597,Phi-Renormalization and Axisymmetric-with-Swirl Navier-Stokes: Algebraic Cancellation of the Axis Singularity,2026-05-27,,"Simons, Jonathan R.",Simons_PhiRenorm_Axisymmetric.tex,1,open,2026-05-27T04:36:16.846629+00:00,20405596,PARK/ARCHIVE,,,Superseded concept version from settled inventory. See KEEP 10.5281/zenodo.22050975.
20405593,10.5281/zenodo.20405593,https://zenodo.org/records/20405593,The Montgomery–Dyson Coincidence as a Q6 Prime Lattice Eigenvalue Identity,2026-05-27,,"Simons, Jonathan R.",Simons_Montgomery_Dyson_Q6.tex,1,open,2026-08-26T23:43:33.735669+00:00,20405592,PARK/ARCHIVE,,Montgomery–Dyson as Q6 identity,URGENT title fix. Settled pack expected title banner; live title may already be cleaned.
20405591,10.5281/zenodo.20405591,https://zenodo.org/records/20405591,"The Q_N Operator: Self-Adjointness, Spectral Floor, and a Route to the Riemann Hypothesis via Renormalized GCD Eigenvalues",2026-05-27,,"Simons, Jonathan R.",Simons_QN_Operator_RH_Spectral.tex,1,open,2026-08-26T23:44:11.014464+00:00,20405590,PARK/ARCHIVE,,,Not in settled Aug-2026 KEEP set. Categorical PARK (unconditional/Millennium/RH/SFE/banner packaging).
20405589,10.5281/zenodo.20405589,https://zenodo.org/records/20405589,A Q6 Spectral Route to the Strong Goldbach Conjecture: Spectral Non-Concentration and the Inverse-GCD Operator,2026-05-27,,"Simons, Jonathan R.",Simons_Goldbach_Q6_Spectral.tex,1,open,2026-05-27T04:36:09.719657+00:00,20405588,PARK/ARCHIVE,,Q6 Goldbach dark-state packaging,Older concept version; live concept page now points to 22050962. Add description errata; do not put banners in title.
20405585,10.5281/zenodo.20405585,https://zenodo.org/records/20405585,"Borromean Triads, the Ring Lemma, and Spectral Non-Dispersal: A Conditional Regularity Framework for 3D Navier-Stokes",2026-05-27,,"Simons, Jonathan R.",RingLemma_Borromean_Simons.tex | RingLemma_Borromean_Simons.html,2,open,2026-08-26T23:44:02.642899+00:00,20405584,PARK/ARCHIVE,,Ring Lemma Borromean (May conditional toolkit),URGENT title fix. Settled pack expected title banner; live title may already be cleaned.
20405526,10.5281/zenodo.20405526,https://zenodo.org/records/20405526,"Global Regularity of the Navier-Stokes Equations on T3: Spectral Non-Dispersal, the Ring Lemma, Phi-Renormalization, and the Shell-Conditioned Commutator Estimate",2026-05-27,,"Simons, Jonathan R.",Simons_NS_GlobalRegularity_T3.tex | Simons_NS_GlobalRegularity_T3.html,2,open,2026-08-26T23:43:28.978850+00:00,20405525,PARK/ARCHIVE,,Global Regularity / Clay Statement (B) packaging,URGENT title fix: remove banner; move withdrawal to description. Settled pack expected title banner; live title may already be cleaned.
20405405,10.5281/zenodo.20405405,https://zenodo.org/records/20405405,"Phi-Renormalization and Global Regularity for Axisymmetric-with-Swirl Navier–Stokes: Algebraic Cancellation of the Axis Singularity, Gronwall-Free Convergence, and the Prime Index Connection",2026-05-27,,"Simons, Jonathan R.",PhiRenorm_TrackB.pdf,1,open,2026-05-27T04:05:58.972981+00:00,20405404,PARK/ARCHIVE,,,Superseded concept version from settled inventory. See KEEP 10.5281/zenodo.22050974.
20272545,10.5281/zenodo.20272545,https://zenodo.org/records/20272545,Spectral Non-Concentration Implies Global Regularity for 3D Navier–Stokes on T³,2026-05-18,,"Simons, Jonathan",Paper2_NS_Regularity_SND.pdf | image.png,2,open,2026-08-26T23:43:54.663078+00:00,20272544,PARK/ARCHIVE,,SND implies global NS regularity (May packaging),URGENT title fix. Settled pack expected title banner; live title may already be cleaned.
20269843,10.5281/zenodo.20269843,https://zenodo.org/records/20269843,The Quantum Lens: A Spectral Framework Connecting the Millennium Prize Problems,2026-05-18,v1,"Simons, Jonathan",e39ad1642_QUANTUM_MILLENNIUM.tex,1,open,2026-08-26T23:43:31.444479+00:00,20269842,PARK/ARCHIVE,,Quantum Lens Millennium connector,URGENT title fix. Settled pack expected title banner; live title may already be cleaned.
19842060,10.5281/zenodo.19842060,https://zenodo.org/records/19842060,"Borromean Triads, the Ring Lemma, and Spectral Non-Dispersal",2026-04-28,V.1,"Simons, Jonathan; Jonathan, Jonathan",97a2ec7e0_RingLemma_Paper.pdf | d00ca111b_fig_star_david.png | caafc8289_fig_three_spheres.png,3,open,2026-08-26T23:43:52.029277+00:00,19842059,PARK/ARCHIVE,,Early Ring Lemma / Borromean note,URGENT title fix. Settled pack expected title banner; live title may already be cleaned.
20552682,10.5281/zenodo.20552682,https://zenodo.org/records/20552682,The Prime Lattice as a Prototype for the BSD Hamiltonian: Rank as Spectral Multiplicity and the Zeta-Function Case of the Birch and Swinnerton-Dyer Conjecture,2026-06-05,,"Simons, Jonathan Robert",BSD_SPECTRAL_FRAMEWORK.pdf | BSD_SPECTRAL_FRAMEWORK.tex,2,open,2026-08-26T23:43:43.572474+00:00,20552681,REVIEW,,,Not in settled Aug-2026 KEEP set. Needs human disposition; not in settled KEEP/PARK list.
20271457,10.5281/zenodo.20271457,https://zenodo.org/records/20271457,"The Ramanujan–Möbius Identity and Prime Lattice Spectral Theory: GCD Operators, Spectral Floors, and the Arithmetic Casimir Constant",2026-05-27,,"Simons, Jonathan R.",Paper1_GCD_Spectral.pdf,1,open,2026-08-26T23:43:57.489101+00:00,20269737,REVIEW,,,Not in settled Aug-2026 KEEP set. Needs human disposition; not in settled KEEP/PARK list.
20271879,10.5281/zenodo.20271879,https://zenodo.org/records/20271879,Spectral Properties of GCD Operators and Ramanujan Quadratic Forms,2026-05-18,,"Simons, Jonathan",Paper1_GCD_Spectral.pdf | image.png,2,open,2026-08-26T23:44:18.181418+00:00,20271878,REVIEW,,,Not in settled Aug-2026 KEEP set. Needs human disposition; not in settled KEEP/PARK list.
20269536,10.5281/zenodo.20269536,https://zenodo.org/records/20269536,Spectral Non-Concentration Criteria for Navier–Stokes Regularity on T³,2026-05-18,v1,"simons, jonathan",Simons_NS_Paper2_DRAFT.tex,1,open,2026-08-26T23:44:08.064409+00:00,20269535,REVIEW,,,Not in settled Aug-2026 KEEP set. Needs human disposition; not in settled KEEP/PARK list.
20184148,10.5281/zenodo.20184148,https://zenodo.org/records/20184148,The Montgomery–Dyson Coincidence Resolved by the Q6 Prime Lattice Operator,2026-05-14,v1,"Simons, Jonathan",70a2d6a3c_montgomery_dyson_simons.pdf,1,open,2026-08-26T23:44:15.680924+00:00,20184147,REVIEW,,,Not in settled Aug-2026 KEEP set. Needs human disposition; not in settled KEEP/PARK list.
20183673,10.5281/zenodo.20183673,https://zenodo.org/records/20183673,Diffuse Cascade in 3D Navier–Stokes: Time-Resolved Evidence for Triad Equidistribution,2026-05-14,v1,"simons, jonathan",97a3d4808_p0_diffuse_cascade 2.pdf,1,open,2026-08-26T23:44:13.392716+00:00,20183672,REVIEW,,,Not in settled Aug-2026 KEEP set. Needs human disposition; not in settled KEEP/PARK list.
