System,Current_Periods,Gap_Start,Gap_End,Suggested_Periods,Confidence_Level,Quality_Score
"PSR B1257+12",25.2620;66.5419;98.2114,25.2620,66.5419,50.5240,HIGH,6.31
"PSR B1257+12",25.2620;66.5419;98.2114,66.5419,98.2114,99.8128,HIGH,4.80
"Kepler-158",0.6451;16.7092;28.5514,0.6451,16.7092,0.9676;1.4514;2.1772;3.2658;4.8986;7.3480;11.0219;16.5329,HIGH,5.29
"Kepler-158",0.6451;16.7092;28.5514,16.7092,28.5514,27.8486,HIGH,7.06
"K2-368",5.0256;9.6602;20.2011,5.0256,9.6602,10.0512,HIGH,4.75
"K2-368",5.0256;9.6602;20.2011,9.6602,20.2011,19.3204,MEDIUM,5.08
"Kepler-267",3.3537;6.8774;28.4645,3.3537,6.8774,6.7075,HIGH,4.07
"Kepler-267",3.3537;6.8774;28.4645,6.8774,28.4645,13.7549;27.5098,HIGH,4.12
"Kepler-303",1.9371;7.0611,1.9371,7.0611,3.2284;5.3807,MEDIUM,8.99
"Kepler-125",4.1644;5.7745,4.1644,5.7745,5.5525,HIGH,7.20
"HD 69830",8.6670;31.5600;197.0000,8.6670,31.5600,14.4450;24.0750,MEDIUM,9.03
"HD 69830",8.6670;31.5600;197.0000,31.5600,197.0000,47.3400;71.0100;106.5150;159.7725,MEDIUM,6.97
"GJ 887",9.2620;21.7890,9.2620,21.7890,13.8930;20.8395,HIGH,6.02
"UZ For",1916.2500;5840.0000,1916.2500,5840.0000,3832.5000,HIGH,5.29
"WASP-126",3.2888;7.6300,3.2888,7.6300,4.9332;7.3999,HIGH,5.54
"Kepler-48",4.7780;9.6739;42.8961;982.0000;5219.6819,4.7780,9.6739,9.5560,HIGH,3.42
"Kepler-48",4.7780;9.6739;42.8961;982.0000;5219.6819,9.6739,42.8961,14.5109;21.7664;32.6496,MEDIUM,6.57
"Kepler-48",4.7780;9.6739;42.8961;982.0000;5219.6819,42.8961,982.0000,64.3441;96.5162;144.7743;217.1615;325.7423;488.6134;732.9201,MEDIUM,6.01
"Kepler-48",4.7780;9.6739;42.8961;982.0000;5219.6819,982.0000,5219.6819,1964.0000;3928.0000,HIGH,5.15
"Kepler-407",0.6693;3000.0000,0.6693,3000.0000,1.3386;2.6772;5.3545;10.7090;21.4180;42.8360;85.6720;171.3440;342.6879;685.3759;1370.7518;2741.5036,HIGH,5.99
"Kepler-235",3.3402;7.8249;20.0605;46.1837,3.3402,7.8249,5.0103;7.5155,HIGH,5.87
"Kepler-235",3.3402;7.8249;20.0605;46.1837,7.8249,20.0605,9.7811;12.2264;15.2830;19.1038,MEDIUM,9.50
"Kepler-235",3.3402;7.8249;20.0605;46.1837,20.0605,46.1837,30.0908;45.1362,HIGH,5.27
"HD 93963 A",1.0376;3.6451,1.0376,3.6451,1.5564;2.3346;3.5019,HIGH,5.77
"Kepler-281",14.6460;36.3374;148.2720,14.6460,36.3374,19.5280;26.0373;34.7165,MEDIUM,7.62
"Kepler-281",14.6460;36.3374;148.2720,36.3374,148.2720,72.6747;145.3495,HIGH,3.64
"Kepler-279",12.3097;35.7360;54.4140;98.3531,12.3097,35.7360,20.5161;34.1936,MEDIUM,8.30
"Kepler-279",12.3097;35.7360;54.4140;98.3531,35.7360,54.4140,53.6040,HIGH,4.76
"Kepler-279",12.3097;35.7360;54.4140;98.3531,54.4140,98.3531,72.5520;96.7360,MEDIUM,6.59
"GJ 1132",1.6289;8.9290,1.6289,8.9290,2.4434;3.6651;5.4976;8.2465,MEDIUM,9.85
"Kepler-128",15.0000;22.8000,15.0000,22.8000,22.5000,HIGH,4.67
"L 98-59",2.2531;3.6907;7.4507;12.8278;23.0640,2.2531,3.6907,3.7552,HIGH,6.66
"L 98-59",2.2531;3.6907;7.4507;12.8278;23.0640,3.6907,7.4507,7.3814,HIGH,3.27
"L 98-59",2.2531;3.6907;7.4507;12.8278;23.0640,7.4507,12.8278,12.4179,HIGH,7.45
"L 98-59",2.2531;3.6907;7.4507;12.8278;23.0640,12.8278,23.0640,17.1037;22.8050,MEDIUM,6.41
"Kepler-219",4.5855;22.7146;47.9036,4.5855,22.7146,6.8783;10.3174;15.4761,HIGH,6.04
"Kepler-219",4.5855;22.7146;47.9036,22.7146,47.9036,45.4292,MEDIUM,5.52
"Kepler-80",0.9868;3.0722;4.6449;7.0525;9.5236;14.6456,0.9868,3.0722,1.3157;1.7543;2.3391,MEDIUM,8.07
"Kepler-80",0.9868;3.0722;4.6449;7.0525;9.5236;14.6456,3.0722,4.6449,4.6083,HIGH,4.40
"Kepler-80",0.9868;3.0722;4.6449;7.0525;9.5236;14.6456,4.6449,7.0525,6.9673,HIGH,4.61
"Kepler-80",0.9868;3.0722;4.6449;7.0525;9.5236;14.6456,7.0525,9.5236,14.1049,HIGH,5.14
"Kepler-80",0.9868;3.0722;4.6449;7.0525;9.5236;14.6456,9.5236,14.6456,14.2853,HIGH,5.26
"Kepler-82",2.3830;5.9022;26.4400;51.5400;75.7320,2.3830,5.9022,3.1773;4.2364;5.6485,MEDIUM,7.57
"Kepler-82",2.3830;5.9022;26.4400;51.5400;75.7320,5.9022,26.4400,8.8533;13.2800;19.9199,MEDIUM,6.31
"Kepler-82",2.3830;5.9022;26.4400;51.5400;75.7320,26.4400,51.5400,52.8800,HIGH,4.07
"Kepler-82",2.3830;5.9022;26.4400;51.5400;75.7320,51.5400,75.7320,77.3100,HIGH,5.02
"Kepler-1921",3.1572;20.0348,3.1572,20.0348,4.7358;7.1037;10.6556;15.9834,MEDIUM,6.76
"TOI-1736",7.0731;571.2500,7.0731,571.2500,14.1462;28.2923;56.5846;113.1692;226.3384;452.6769,HIGH,4.89
"Kepler-100",6.8873;12.8159;35.3331;60.8886,6.8873,12.8159,9.1831;12.2442,MEDIUM,7.59
"Kepler-100",6.8873;12.8159;35.3331;60.8886,12.8159,35.3331,19.2238;28.8358,MEDIUM,7.89
"Kepler-100",6.8873;12.8159;35.3331;60.8886,35.3331,60.8886,58.8885,HIGH,7.50
"Kepler-350",11.1896;17.8490;26.1360,11.1896,17.8490,18.6493,MEDIUM,7.95
"Kepler-350",11.1896;17.8490;26.1360,17.8490,26.1360,26.7735,HIGH,5.19
"Kepler-42",0.4533;1.2138;1.8652,0.4533,1.2138,0.9066,HIGH,5.91
"Kepler-42",0.4533;1.2138;1.8652,1.2138,1.8652,1.8207,HIGH,5.22
"TOI-1798",0.4378;8.0215,0.4378,8.0215,0.8756;1.7512;3.5025;7.0050,MEDIUM,6.94
"Kepler-293",19.2542;54.1557,19.2542,54.1557,32.0903;53.4839,MEDIUM,7.22
"Kepler-319",4.3627;6.9414;31.7819,4.3627,6.9414,6.5441,MEDIUM,7.04
"Kepler-319",4.3627;6.9414;31.7819,6.9414,31.7819,13.8827;27.7654,MEDIUM,8.55
"Kepler-26",3.5439;12.2800;17.2559;46.8279,3.5439,12.2800,5.3159;7.9738;11.9607,HIGH,5.42
"Kepler-26",3.5439;12.2800;17.2559;46.8279,12.2800,17.2559,16.3733,MEDIUM,7.90
"Kepler-26",3.5439;12.2800;17.2559;46.8279,17.2559,46.8279,25.8839;38.8258,MEDIUM,8.27
"HD 9446",30.0520;192.9000,30.0520,192.9000,60.1040;120.2080,MEDIUM,7.73
"Kepler-331",8.4575;17.2811;32.1343,8.4575,17.2811,16.9150,HIGH,3.88
"Kepler-331",8.4575;17.2811;32.1343,17.2811,32.1343,23.0415;30.7220,MEDIUM,7.57
"HD 11506",223.9200;1617.7000;26500.0000,223.9200,1617.7000,447.8400;895.6800,MEDIUM,8.18
"HD 11506",223.9200;1617.7000;26500.0000,1617.7000,26500.0000,3235.4000;6470.8000;12941.6000;25883.2000,HIGH,3.58
"Kepler-176",5.4331;12.7597;25.7520;51.1658,5.4331,12.7597,8.1496;12.2244,HIGH,5.96
"Kepler-176",5.4331;12.7597;25.7520;51.1658,12.7597,25.7520,25.5194,HIGH,3.26
"Kepler-176",5.4331;12.7597;25.7520;51.1658,25.7520,51.1658,51.5039,HIGH,3.13
"Kepler-53",9.7520;18.6490;38.5583,9.7520,18.6490,19.5039,MEDIUM,4.99
"Kepler-53",9.7520;18.6490;38.5583,18.6490,38.5583,37.2979,HIGH,4.49
"Kepler-49",2.5765;7.2000;10.9100;18.5961,2.5765,7.2000,4.2942;7.1571,MEDIUM,7.00
"Kepler-49",2.5765;7.2000;10.9100;18.5961,7.2000,10.9100,10.8000,HIGH,4.51
"Kepler-49",2.5765;7.2000;10.9100;18.5961,10.9100,18.5961,18.1833,HIGH,6.94
"Kepler-903",10.3508;62.9229,10.3508,62.9229,20.7015;41.4031,HIGH,4.61
"Kepler-276",14.1284;31.8840;48.6480,14.1284,31.8840,21.1926;31.7889,HIGH,4.60
"Kepler-276",14.1284;31.8840;48.6480,31.8840,48.6480,47.8260,HIGH,4.86
"HD 107148",18.3267;48.0560,18.3267,48.0560,36.6534,HIGH,6.53
"GJ 876",1.9378;30.0881;61.1166;124.2600,1.9378,30.0881,3.8756;7.7511;15.5022,HIGH,4.04
"GJ 876",1.9378;30.0881;61.1166;124.2600,30.0881,61.1166,60.1762,HIGH,3.58
"GJ 876",1.9378;30.0881;61.1166;124.2600,61.1166,124.2600,122.2332,HIGH,3.63
"Kepler-287",20.3422;44.8519,20.3422,44.8519,30.5133,HIGH,6.50
"Kepler-177",36.8601;49.4093,36.8601,49.4093,73.7202,HIGH,4.77
"HD 109833",9.1885;13.9001,9.1885,13.9001,13.7828,HIGH,4.43
"Kepler-31",20.8613;42.6318;87.6451,20.8613,42.6318,41.7226,HIGH,3.89
"Kepler-31",20.8613;42.6318;87.6451,42.6318,87.6451,85.2636,HIGH,4.20
"Kepler-603",6.2171;21.0536;127.9076,6.2171,21.0536,9.3257;13.9885;20.9828,HIGH,4.83
"Kepler-603",6.2171;21.0536;127.9076,21.0536,127.9076,42.1072;84.2143,HIGH,4.59
"Kepler-50",7.8125;9.3765,7.8125,9.3765,15.6251,MEDIUM,6.31
"24 Sex",452.8000;883.0000,452.8000,883.0000,905.6000,HIGH,4.05
"KOI-55",0.2401;0.3429,0.2401,0.3429,0.3602,MEDIUM,6.40
"HD 177830",110.9000;410.1000,110.9000,410.1000,184.8333;308.0556,MEDIUM,8.52
"ups And",4.6170;241.2580;1276.4600,4.6170,241.2580,9.2341;18.4681;36.9363;73.8725;147.7451,MEDIUM,8.18
"ups And",4.6170;241.2580;1276.4600,241.2580,1276.4600,482.5160;965.0320,HIGH,5.30
"Kepler-139",7.3057;15.7710;157.0729;355.0000;2047.6354,7.3057,15.7710,9.7409;12.9879,LOW,9.83
"Kepler-139",7.3057;15.7710;157.0729;355.0000;2047.6354,15.7710,157.0729,31.5421;63.0842;126.1684,HIGH,5.50
"Kepler-139",7.3057;15.7710;157.0729;355.0000;2047.6354,157.0729,355.0000,235.6093;353.4140,HIGH,4.65
"Kepler-139",7.3057;15.7710;157.0729;355.0000;2047.6354,355.0000,2047.6354,473.3333;631.1111;841.4815;1121.9753;1495.9671;1994.6228,MEDIUM,7.37
"Kepler-102",5.2870;7.0714;10.3118;16.1457;27.4536,5.2870,7.0714,10.5739,HIGH,4.66
"Kepler-102",5.2870;7.0714;10.3118;16.1457;27.4536,7.0714,10.3118,10.6071,HIGH,5.39
"Kepler-102",5.2870;7.0714;10.3118;16.1457;27.4536,10.3118,16.1457,15.4677,MEDIUM,6.19
"Kepler-102",5.2870;7.0714;10.3118;16.1457;27.4536,16.1457,27.4536,26.9095,HIGH,6.81
"Kepler-338",9.3410;13.7270;24.3109;44.4310,9.3410,13.7270,14.0115,HIGH,5.02
"Kepler-338",9.3410;13.7270;24.3109;44.4310,13.7270,24.3109,18.3026,MEDIUM,7.89
"Kepler-338",9.3410;13.7270;24.3109;44.4310,24.3109,44.4310,32.4145;43.2193,MEDIUM,6.97
"HD 114783",493.7000;4352.0000,493.7000,4352.0000,740.5500;1110.8250;1666.2375;2499.3562;3749.0344,MEDIUM,7.72
"HD 181433",9.3743;962.0000;2172.0000,9.3743,962.0000,18.7486;37.4972;74.9944;149.9888;299.9776;599.9552,HIGH,5.76
"HD 181433",9.3743;962.0000;2172.0000,962.0000,2172.0000,1443.0000;2164.5000,HIGH,4.62
"BD+20 2457",379.6300;621.9900,379.6300,621.9900,632.7167,HIGH,6.65
"Kepler-127",14.4359;29.3932;48.6304,14.4359,29.3932,28.8718,HIGH,3.70
"Kepler-127",14.4359;29.3932;48.6304,29.3932,48.6304,48.9887,HIGH,6.17
"Kepler-324",4.3853;13.9794;34.1690;51.8056,4.3853,13.9794,5.8471;7.7961;10.3948;13.8598,MEDIUM,6.87
"Kepler-324",4.3853;13.9794;34.1690;51.8056,13.9794,34.1690,18.6392;24.8523;33.1364,MEDIUM,7.23
"Kepler-324",4.3853;13.9794;34.1690;51.8056,34.1690,51.8056,51.2535,HIGH,4.54
"Kepler-402",4.0288;6.1248;8.9211;11.2429,4.0288,6.1248,6.0431,HIGH,4.68
"Kepler-402",4.0288;6.1248;8.9211;11.2429,6.1248,8.9211,9.1872,HIGH,5.45
"Kepler-402",4.0288;6.1248;8.9211;11.2429,8.9211,11.2429,11.8948,MEDIUM,7.94
"Kepler-140",3.2543;91.3533,3.2543,91.3533,6.5085;13.0171;26.0342;52.0683,HIGH,5.75
"Kepler-206",7.7820;13.1375;23.4428,7.7820,13.1375,12.9700,HIGH,6.45
"Kepler-206",7.7820;13.1375;23.4428,13.1375,23.4428,17.5166;23.3555,MEDIUM,6.16
"Kepler-161",4.9214;7.0642,4.9214,7.0642,7.3820,MEDIUM,6.15
"Kepler-122",5.7662;12.4660;21.5875;37.9933;56.2680,5.7662,12.4660,7.6883;10.2510,LOW,9.88
"Kepler-122",5.7662;12.4660;21.5875;37.9933;56.2680,12.4660,21.5875,20.7766,HIGH,7.75
"Kepler-122",5.7662;12.4660;21.5875;37.9933;56.2680,21.5875,37.9933,35.9791,MEDIUM,8.60
"Kepler-122",5.7662;12.4660;21.5875;37.9933;56.2680,37.9933,56.2680,56.9899,HIGH,4.63
"Kepler-450",7.5146;15.4131;28.4549,7.5146,15.4131,15.0293,HIGH,4.08
"Kepler-450",7.5146;15.4131;28.4549,15.4131,28.4549,20.5508;27.4011,MEDIUM,7.32
"Kepler-332",7.6263;15.9956;34.2115,7.6263,15.9956,15.2526,MEDIUM,5.24
"Kepler-332",7.6263;15.9956;34.2115,15.9956,34.2115,21.3275;28.4367,LOW,9.52
"Kepler-346",6.5111;23.8515,6.5111,23.8515,10.8519;18.0865,MEDIUM,8.83
"Kepler-136",11.5789;16.3992,11.5789,16.3992,17.3683,MEDIUM,6.79
"Kepler-221",2.7959;5.6906;10.0416;18.3699,2.7959,5.6906,5.5918,HIGH,3.68
"Kepler-221",2.7959;5.6906;10.0416;18.3699,5.6906,10.0416,9.4843,MEDIUM,8.74
"Kepler-221",2.7959;5.6906;10.0416;18.3699,10.0416,18.3699,13.3887;17.8517,MEDIUM,7.00
