system_name,planet_name,period_days
Kepler-402,Kepler-402 e,11.242861
Kepler-467,Kepler-467 b,24.99324193
HAT-P-55,HAT-P-55 b,3.5852313
K2-349,K2-349 b,9.032178
Kepler-140,Kepler-140 b,3.25427
Kepler-206,Kepler-206 b,7.781987
Kepler-1715,Kepler-1715 b,35.59730148
Kepler-161,Kepler-161 c,7.06424
Kepler-122,Kepler-122 d,21.587475
Kepler-450,Kepler-450 b,28.454851
Kepler-1746,Kepler-1746 b,321.2120056
Kepler-332,Kepler-332 d,34.21154
Kepler-826,Kepler-826 b,4.48758907
XO-2 N,XO-2 N b,2.61586178
Kepler-346,Kepler-346 c,23.851549
Kepler-1319,Kepler-1319 b,2.886762645
Kepler-1366,Kepler-1366 b,2.164570968
Kepler-1868,Kepler-1868 b,211.0339966
Kepler-136,Kepler-136 b,11.5789
Kepler-221,Kepler-221 b,2.795906
Kepler-267,Kepler-267 c,6.87745
GJ 414 A,GJ 414 A c,749.83
Kepler-327,Kepler-327 d,13.969457
Kepler-478,Kepler-478 b,13.2217576
Kepler-114,Kepler-114 c,8.041
Kepler-114,Kepler-114 b,5.188549
Kepler-1321,Kepler-1321 d,5.720920086
Kepler-186,Kepler-186 f,129.9441
Kepler-1401,Kepler-1401 b,11.20066445
Kepler-928,Kepler-928 b,3.932461302
TOI-4443,TOI-4443.01,1.8498567
Kepler-404,Kepler-404 c,14.751166
Kepler-209,Kepler-209 c,41.749882
Kepler-117,Kepler-117 c,50.790391
Kepler-272,Kepler-272 b,2.971353
Kepler-292,Kepler-292 c,3.715335
Kepler-1256,Kepler-1256 b,12.4127754
TOI-2580,TOI-2580 b,3.39775
Kepler-644,Kepler-644 b,3.173917103
HATS-24,HATS-24 b,1.3484978
CFBDSIR J145829+101343,CFBDSIR J145829+101343 b,10037.5
Kepler-1487,Kepler-1487 b,7.31946363
Kepler-150,Kepler-150 e,30.826557
Kepler-394,Kepler-394 c,12.130686
Kepler-62,Kepler-62 e,122.3874
Kepler-1571,Kepler-1571 b,3.38555488
KOI-94,KOI-94 c,10.423648
Kepler-80,Kepler-80 b,7.05246
Kepler-1725,Kepler-1725 b,16.71990013
Kepler-220,Kepler-220 b,4.159807
HD 120084,HD 120084 b,2142.0
Kepler-980,Kepler-980 b,11.55102504
HD 73267,HD 73267 c,17071.78045
WASP-61,WASP-61 b,3.8559
Kepler-1154,Kepler-1154 c,8.45808312
Kepler-520,Kepler-520 c,5.21104261
GJ 163,GJ 163 d,603.95116
Kepler-368,Kepler-368 c,72.379334
Kepler-335,Kepler-335 c,67.844469
TYC 1422-614-1,TYC 1422-614-1 b,198.4
Kepler-1257,Kepler-1257 b,2.668313762
TOI-4495,TOI-4495.01,5.1830043
Kepler-24,Kepler-24 e,18.998355
Kepler-279,Kepler-279 d,54.414
Kepler-281,Kepler-281 d,148.2720032
Kepler-396,Kepler-396 b,42.994
Kepler-1262,Kepler-1262 b,8.67900242
TOI-7041,TOI-7041 b,9.691
Kepler-145,Kepler-145 c,42.882
Kepler-84,Kepler-84 b,8.726
HD 209458,HD 209458 b,3.52474859
K2-136,K2-136 b,7.9752
Kepler-231,Kepler-231 b,10.065275
Kepler-26,Kepler-26 e,46.827915
Kepler-350,Kepler-350 d,26.136
Kepler-85,Kepler-85 c,12.51
Kepler-1660 A,Kepler-1660 AB b,239.5044
Kepler-1372,Kepler-1372 b,1.311555568
Kepler-838,Kepler-838 b,15.74957994
K2-332,K2-332 b,17.70632
RR Cae,RR Cae b,4343.5
Kepler-211,Kepler-211 c,6.04045
Kepler-162,Kepler-162 c,19.446355
Kepler-1385,Kepler-1385 b,2.88879862
TOI-431,TOI-431 b,0.490047
HD 45364,HD 45364 c,345.43
HD 83443,HD 83443 b,2.985628
Kepler-1424,Kepler-1424 b,29.6091744
HD 22496,HD 22496 b,5.09071
HD 13908,HD 13908 c,931.0
Kepler-1545,Kepler-1545 b,163.692349
Kepler-1811,Kepler-1811 b,76.42230225
KOBE-1,KOBE-1 b,8.5399
Kepler-1277,Kepler-1277 b,40.8365012
TOI-5210,TOI-5210 b,4.5661061
Kepler-359,Kepler-359 b,25.563222
Kepler-60,Kepler-60 c,8.9187
Kepler-414,Kepler-414 b,4.7
Kepler-691,Kepler-691 b,8.114379
Kepler-705,Kepler-705 b,56.0560538
Kepler-1350,Kepler-1350 c,1.766789062
Kepler-319,Kepler-319 b,4.362705
Kepler-324,Kepler-324 e,13.97939968
Kepler-342,Kepler-342 d,39.459357
HD 219139,HD 219139 b,275.5
Kepler-53,Kepler-53 b,18.6489525
Kepler-880,Kepler-880 c,11.8061737
Kepler-312,Kepler-312 b,1.772419
Kepler-967,Kepler-967 c,198.7112502
Kepler-190,Kepler-190 b,2.019999
Kepler-220,Kepler-220 c,9.034199
HD 134606,HD 134606 c,58.883
Kepler-770,Kepler-770 d,4.15244722
Kepler-1219,Kepler-1219 b,16.10467749
K2-285,K2-285 c,7.138048
Kepler-1721,Kepler-1721 b,4.592380047
Kepler-31,Kepler-31 b,20.8613
Kepler-651,Kepler-651 b,21.38521506
Kepler-367,Kepler-367 c,53.578637
Kepler-33,Kepler-33 f,41.02902
Kepler-27,Kepler-27 c,31.3309
HD 20794,HD 20794 f,647.6
Kepler-288,Kepler-288 c,19.305772
Kepler-232,Kepler-232 b,4.431222
Kepler-294,Kepler-294 c,6.6264
Kepler-1925,Kepler-1925 b,46.71640015
Kepler-48,Kepler-48 b,4.778
Kepler-29,Kepler-29 b,10.33974
Kepler-454,Kepler-454 c,524.19
Kepler-1266,Kepler-1266 c,4.86631012
Kepler-1559,Kepler-1559 b,0.971915428
Kepler-107,Kepler-107 e,14.749143
HATS-4,HATS-4 b,2.516729
TYC 1422-614-1,TYC 1422-614-1 c,559.3
Kepler-1539,Kepler-1539 b,133.3036741
HIP 9618,HIP 9618 b,20.772858
K2-6,K2-6 b,30.94191
HD 113337,HD 113337 c,5429.93477
Kepler-242,Kepler-242 b,8.20395
Kepler-1339,Kepler-1339 b,1.341555127
TOI-139,TOI-139 b,11.07085
HIP 38594,HIP 38594 c,3477.768
Kepler-595,Kepler-595 b,25.3029092
Kepler-32,Kepler-32 d,22.7802
Kepler-1788,Kepler-1788 b,2.800120115
Kepler-194,Kepler-194 d,52.814973
Kepler-723,Kepler-723 b,4.082275068
Kepler-634,Kepler-634 b,5.16950177
Kepler-873,Kepler-873 b,20.5533844
Kepler-1336,Kepler-1336 c,5.77721211
Kepler-194,Kepler-194 b,2.092281
Kepler-206,Kepler-206 d,23.44281
Kepler-120,Kepler-120 c,12.794585
Kepler-317,Kepler-317 b,5.524242
Kepler-423,Kepler-423 b,2.6843285
HD 158996,HD 158996 b,820.2
Kepler-1959,Kepler-1959 b,6.38669014
Kepler-171,Kepler-171 b,4.166972
Kepler-204,Kepler-204 b,14.400974
Kepler-539,Kepler-539 b,125.63243
KOI-351,KOI-351 f,124.9144
Kepler-28,Kepler-28 b,5.91
Kepler-1097,Kepler-1097 b,187.747029
Kepler-93,Kepler-93 b,4.72673978
Kepler-321,Kepler-321 c,13.093921
K2-11,K2-11 b,39.93767
Kepler-832,Kepler-832 b,7.1396941
Kepler-346,Kepler-346 b,6.511127
Kepler-325,Kepler-325 b,4.544439
HD 35759,HD 35759 b,82.467
HIP 74890,HIP 74890 b,822.3
Kepler-343,Kepler-343 b,8.96855
Kepler-54,Kepler-54 b,8.0109434
Kepler-176,Kepler-176 c,12.759712
Kepler-725,Kepler-725 b,39.64372
HD 103720,HD 103720 b,4.5557
Kepler-360,Kepler-360 b,3.289672
Qatar-1,Qatar-1 b,1.4200242
Kepler-290,Kepler-290 c,36.77031
Kepler-352,Kepler-352 d,6.887279987
AT2021ueyL,AT2021ueyL b,4168.69
TOI-7149,TOI-7149 b,2.65206166
Kepler-1388,Kepler-1388 e,37.6327084
Kepler-676,Kepler-676 b,11.59822172
Kepler-186,Kepler-186 d,13.342996
HD 145457,HD 145457 b,176.13
HD 105779,HD 105779 b,2412.0
TOI-2076,TOI-2076 b,10.355235
Kepler-426,Kepler-426 b,3.21751883
HD 28254,HD 28254 b,1333.0
K2-183,K2-183 b,0.469285
HATS-49,HATS-49 b,4.1480467
GJ 1151,GJ 1151 c,389.7
Kepler-1893,Kepler-1893 b,4.179369926
Kepler-920,Kepler-920 c,100.8274113
Kepler-358,Kepler-358 c,83.488369
Kepler-1480,Kepler-1480 b,22.12679948
Kepler-1880,Kepler-1880 b,6.309219837
Kepler-304,Kepler-304 d,9.653471
TOI-1422,TOI-1422 b,12.9972
TOI-1347,TOI-1347 b,0.84742346
WASP-140,WASP-140 b,2.2359835
Kepler-514,Kepler-514 b,5.65179605
KOI-7892,KIC 8540376 b,31.8099
WASP-182,WASP-182 b,3.3769848
Kepler-529,Kepler-529 c,12.8345022
TOI-3629,TOI-3629 b,3.936551
Kepler-1679,Kepler-1679 b,9.75376
Kepler-1529,Kepler-1529 b,5.33905686
Kepler-193,Kepler-193 c,50.697494
Kepler-1260,Kepler-1260 b,19.1187753
HD 80883,HD 80883 b,6383.78352
Kepler-265,Kepler-265 b,6.846262
Kepler-749,Kepler-749 b,17.31716585
TOI-1194,TOI-1194 b,2.3106446
Kepler-84,Kepler-84 c,12.883
Kepler-1011,Kepler-1011 b,5.753221974
HD 65216,HD 65216 b,577.6
HD 33844,HD 33844 c,916.0
Kepler-1743,Kepler-1743 b,7.649710178
HIP 54373,HIP 54373 c,15.144
Kepler-1232,Kepler-1232 b,26.7839183
K2-254,K2-254 b,4.09639
CoRoT-4,CoRoT-4 b,9.20205
K2-132,K2-132 b,9.1751
TOI-1117,TOI-1117 d,8.665
K2-377,K2-377 b,12.832235
Kepler-151,Kepler-151 b,15.228958
Kepler-217,Kepler-217 d,3.88689525
HD 40956,HD 40956 b,578.6
GJ 27.1,GJ 27.1 b,15.819
HD 82943,HD 82943 b,441.47
Kepler-1573,Kepler-1573 b,2.6157554
Kepler-1489,Kepler-1489 c,0.680741
EPIC 212424622,EPIC 212424622 b,18.0983
Kepler-1915,Kepler-1915 b,13.83539963
TOI-4487 A,TOI-4487 A b,3.9540709
K2-218,K2-218 b,8.679885
TOI-2374,TOI-2374 b,4.31361
HD 154391,HD 154391 b,5163.0
Kepler-292,Kepler-292 f,20.834237
Kepler-105,Kepler-105 c,7.12592
Kepler-1281,Kepler-1281 b,3.11602791
KELT-18,KELT-18 b,2.8717518
KIC 8121913,KIC 8121913 b,3.294601
Kepler-519,Kepler-519 b,24.3078946
Kepler-385,Kepler-385 c,15.163161
Kepler-170,Kepler-170 c,16.665863
HD 42813,HIP 29442 c,3.5379559
Kepler-1111,Kepler-1111 b,8.79617863
HATS-7,HATS-7 b,3.185315
Kepler-1417,Kepler-1417 b,20.3505213
Kepler-139,Kepler-139 b,15.771044
Kepler-1272,Kepler-1272 b,51.1309704
Kepler-159,Kepler-159 b,10.139623
GJ 229,GJ 229 b,579.47495
Kepler-397,Kepler-397 c,135.498527
Kepler-122,Kepler-122 e,37.993273
HD 49674,HD 49674 b,4.94737
Kepler-1154,Kepler-1154 b,5.1856142
55 Cnc,55 Cnc c,44.3989
Kepler-1719,Kepler-1719 b,6.149559975
TOI-1806,TOI-1806.01,15.1454693
Kepler-221,Kepler-221 d,10.04156
Kepler-204,Kepler-204 c,25.660593
HIP 65407,HIP 65407 c,67.3
TOI-201,TOI-201 c,2800.0
Kepler-221,Kepler-221 e,18.369917
Kepler-258,Kepler-258 c,33.653079
Kepler-1266,Kepler-1266 b,28.474748
HIP 81208 C,HIP 81208 C b,104100.0
HD 216520,HD 216520 c,154.43
HD 206893,HD 206893 b,9350.0
Kepler-333,Kepler-333 c,24.08821
Kepler-1751,Kepler-1751 b,7.017310143
Kepler-191,Kepler-191 d,5.945041017
Kepler-1881,Kepler-1881 b,159.3939972
Kepler-293,Kepler-293 c,54.155743
Kepler-136,Kepler-136 c,16.399235
Kepler-203,Kepler-203 b,3.162697
HD 143105,HD 143105 b,2.1974
WASP-91,WASP-91 b,2.798581
Kepler-791,Kepler-791 b,14.5539759
Kepler-403,Kepler-403 c,54.280749
HD 170469,HD 170469 b,1145.0
TOI-4914,TOI-4914 b,10.60057
Kepler-347,Kepler-347 b,12.79836
Kepler-704,Kepler-704 b,3.76182115
HD 104067,HD 104067 c,13.8992
Kepler-871,Kepler-871 b,22.0459018
Kepler-1992,Kepler-1992 b,15.6112238
Kepler-237,Kepler-237 c,8.103636
Kepler-1830,Kepler-1830 b,56.49330139
K2-270,K2-270 c,4.400028
Kepler-550,Kepler-550 b,8.600104109
Kepler-604,Kepler-604 b,25.85501786
LHS 1678,LHS 1678 c,3.694284
K2-18,K2-18 b,32.939623
Kepler-1278,Kepler-1278 b,3.23941344
Kepler-1142,Kepler-1142 b,18.3027248
Kepler-327,Kepler-327 c,5.212333
WASP-60,WASP-60 b,4.305
GJ 1252,GJ 1252 b,0.5182331
Kepler-113,Kepler-113 b,4.754
Kepler-1605,Kepler-1605 b,85.7565495
Kepler-1060,Kepler-1060 b,46.8779367
HD 10180,HD 10180 c,5.75969
HD 3167,HD 3167 d,8.4112
Kepler-349,Kepler-349 b,5.929778
Kepler-722,Kepler-722 b,4.093573252
Kepler-1912,Kepler-1912 b,6.059219837
Kepler-1717,Kepler-1717 b,30.65279961
Kepler-735,Kepler-735 b,11.51516988
HD 25463,HD 25463 b,7.0491423
Kepler-446,Kepler-446 d,5.148921
K2-352,K2-352 b,3.665912
Kepler-859,Kepler-859 b,20.38177573
Kepler-1129,Kepler-1129 c,76.5369586
GJ 251,GJ 251 b,14.238
Kepler-1067,Kepler-1067 b,0.762129261
Kepler-1356,Kepler-1356 b,0.634002937
Kepler-889,Kepler-889 b,3.744439
Kepler-1905,Kepler-1905 b,3.42392993
HD 39855,HD 39855 b,3.2498
Kepler-198,Kepler-198 c,49.567416
Barnard's star,Barnard b,3.1542
GJ 3082,GJ 3082 b,11.949
GJ 896 A,GJ 896 A b,284.39
Kepler-1792,Kepler-1792 b,4.1957798
TOI-201,TOI-201 b,52.977946
NGTS-5,NGTS-5 b,3.3569866
Kepler-127,Kepler-127 d,48.630408
Kepler-83,Kepler-83 b,9.77
Kepler-2000,Kepler-2000 b,6.383159135
K2-133,K2-133 c,4.86784
Kepler-275,Kepler-275 c,16.088134
K2-158,K2-158 c,5.90279
Kepler-1594,Kepler-1594 b,2.71603809
Kepler-1379,Kepler-1379 b,0.881841146
Kepler-1718,Kepler-1718 b,135.1880035
Kepler-153,Kepler-153 b,18.870227
Kepler-122,Kepler-122 b,5.766193
Kepler-359,Kepler-359 c,57.68802
Kepler-235,Kepler-235 c,7.824904
K2-354,K2-354 b,3.793306
WASP-138,WASP-138 b,3.634433
Kepler-1129,Kepler-1129 b,24.3397804
K2-71,K2-71 b,6.98541
Kepler-1049,Kepler-1049 b,3.273460736
TOI-6695,TOI-6695 c,242.4
HD 192310,HD 192310 b,74.72
K2-166,K2-166 b,8.52695
